shipment_address,street_address,district,city,note 
40001,080 Ohio Junction,Newport Beach,United States,
40002,404 Roxbury Avenue,Zea,Venezuela,
40003,833 Upham Drive,Thala,Tunisia,
40004,28 Derek Court,Kaskinen,Finland,
40005,61878 Annamark Point,Savski Venac,Serbia,
40006,7933 Mifflin Plaza,Babao,China,
40007,668 Garrison Center,Siaton,Philippines,
40008,055 Goodland Junction,Dongfu,China,
40009,02114 Amoth Hill,Tsuruga,Japan,
40010,43 Express Drive,Xitou,China,
40011,3882 Charing Cross Court,Banaba,Philippines,
40012,31 Dennis Avenue,Puteaux,France,
40013,10 Crescent Oaks Center,Dubrovka,Russia,
40014,06709 Hanson Park,Kralice na Hané,Czech Republic,
40015,95111 Weeping Birch Junction,Parrita,Costa Rica,
40016,233 Namekagon Way,Itu,Brazil,
40017,7 Hagan Plaza,Conima,Peru,
40018,5038 Scofield Parkway,Pangal Sur,Philippines,
40019,4886 Village Green Pass,Tianjiazhuang,China,
40020,2 Hintze Place,Cabannungan Second,Philippines,
40021,94702 Sage Center,Bila Tserkva,Ukraine,
40022,8 Novick Lane,Kunsan,South Korea,
40023,0 Harper Park,Chengnan,China,
40024,001 Scott Place,Piedra Blanca,Dominican Republic,
40025,21232 Sutteridge Place,Jingkou,China,
40026,25 Crowley Junction,Sukaratu,Indonesia,
40027,4 Mccormick Alley,Ojiya,Japan,
40028,797 Luster Place,Kista,Sweden,
40029,8052 Lillian Junction,Port Maria,Jamaica,
40030,4 Acker Parkway,Natonin,Philippines,
